Time,Pontos,Jogos,Vitorias,Empates,Derrotas,GP,GC,SG,Aproveitamento
Coritiba,30,15,9,3,3,15.0,6,9,66
Goiás,30,15,9,3,3,19.0,12,7,66
Novorizontino,27,15,7,6,2,18.0,10,8,60
Avaí,24,15,6,6,3,19.0,13,6,53
Remo,24,15,6,6,3,17.0,13,4,53
Athletico-PR,23,15,7,2,6,15.5,19,0,51
Chapecoense,22,15,7,1,7,19.0,15,4,48
Vila Nova,22,15,7,1,7,14.0,15,-1,48
Cuiabá,22,15,6,4,5,15.0,16,-1,48
CRB,21,15,6,3,6,15.0,14,1,46
Atlético-GO,21,15,5,6,4,16.0,90,2,46
América-MG,20,15,6,2,7,16.0,17,-1,44
Ferroviária,18,15,4,6,5,15.0,17,-2,40
Operário-PR,17,15,5,2,8,17.0,19,-2,37
Criciúma,17,15,4,5,6,17.0,16,1,37
Botafogo-SP,17,15,4,5,6,12.0,17,-5,37
Athletic Club,15,15,5,0,10,14.0,23,-9,33
Paysandu,14,15,3,5,7,9.0,15,-6,31
Volta Redonda,14,15,3,5,7,7.0,14,-7,31
Amazonas,14,15,3,5,7,12.0,20,-8,31
